,5.000,2.500
0,,
1,5.02,6.667000000000001
2,,
3,5.04,4.167
4,,
5,5.06,4.167
6,,
7,5.08,3.333
8,,
9,5.1,7.5
10,,
11,5.12,3.333
12,,
13,5.14,4.167
14,,
15,5.16,4.167
16,,
17,5.18,2.5
18,,
19,5.2,5.0
20,,
21,5.22,4.167
22,,
23,5.24,3.333
24,,
25,5.26,7.5
26,,
27,5.28,7.5
28,,
29,5.3,4.167
30,,
31,5.32,4.167
32,,
33,5.34,0.833
34,,
35,5.36,8.333
36,,
37,5.38,5.832999999999999
38,,
39,5.4,5.0
40,,
41,5.42,5.832999999999999
42,,
43,5.44,7.5
44,,
45,5.46,3.333
46,,
47,5.48,3.333
48,,
49,5.5,5.0
50,,
51,5.52,4.167
52,,
53,5.54,5.0
54,,
55,5.56,8.333
56,,
57,5.58,7.5
58,,
59,5.6,3.333
60,,
61,5.62,4.167
62,,
63,5.64,6.667000000000001
64,,
65,5.66,5.0
66,,
67,5.68,2.5
68,,
69,5.7,2.5
70,,
71,5.72,5.832999999999999
72,,
73,5.74,4.167
74,,
75,5.76,5.0
76,,
77,5.78,2.5
78,,
79,5.8,6.667000000000001
80,,
81,5.82,4.167
82,,
83,5.84,4.167
84,,
85,5.86,2.5
86,,
87,5.88,4.167
88,,
89,5.9,3.333
90,,
91,5.92,6.667000000000001
92,,
93,5.94,5.832999999999999
94,,
95,5.96,7.5
96,,
97,5.98,6.667000000000001
98,,
99,6.0,4.167
100,,
101,6.02,3.333
102,,
103,6.04,3.333
104,,
105,6.06,4.167
106,,
107,6.08,1.6669999999999998
108,,
109,6.1,4.167
110,,
111,6.12,2.5
112,,
113,6.14,4.167
114,,
115,6.16,6.667000000000001
116,,
117,6.18,4.167
118,,
119,6.2,4.167
120,,
121,6.22,7.5
122,,
123,6.24,5.0
124,,
125,6.26,4.167
126,,
127,6.28,4.167
128,,
129,6.3,3.333
130,,
131,6.32,5.0
132,,
133,6.34,2.5
134,,
135,6.36,5.0
136,,
137,6.38,4.167
138,,
139,6.4,7.5
140,,
141,6.42,1.6669999999999998
142,,
143,6.44,6.667000000000001
144,,
145,6.46,4.167
146,,
147,6.48,5.0
148,,
149,6.5,3.333
150,,
151,6.52,3.333
152,,
153,6.54,4.167
154,,
155,6.56,5.0
156,,
157,6.58,8.333
158,,
159,6.6,5.0
160,,
161,6.62,4.167
162,,
163,6.64,4.167
164,,
165,6.66,3.333
166,,
167,6.68,5.832999999999999
168,,
169,6.7,4.167
170,,
171,6.72,4.167
172,,
173,6.74,3.333
174,,
175,6.76,3.333
176,,
177,6.78,3.333
178,,
179,6.8,3.333
180,,
181,6.82,3.333
182,,
183,6.84,3.333
184,,
185,6.86,3.333
186,,
187,6.88,3.333
188,,
189,6.9,5.0
190,,
191,6.92,5.0
192,,
193,6.94,5.0
194,,
195,6.96,5.0
196,,
197,6.98,4.167
198,,
199,7.0,3.333
200,,
201,7.02,8.333
202,,
203,7.04,7.5
204,,
205,7.06,4.167
206,,
207,7.08,5.832999999999999
208,,
209,7.1,3.333
210,,
211,7.12,5.0
212,,
213,7.14,5.832999999999999
214,,
215,7.16,5.0
216,,
217,7.18,2.5
218,,
219,7.2,4.167
220,,
221,7.22,5.832999999999999
222,,
223,7.24,3.333
224,,
225,7.26,5.832999999999999
226,,
227,7.28,5.832999999999999
228,,
229,7.3,7.5
230,,
231,7.32,4.167
232,,
233,7.34,3.333
234,,
235,7.36,6.667000000000001
236,,
237,7.38,4.167
238,,
239,7.4,1.6669999999999998
240,,
241,7.42,1.6669999999999998
242,,
243,7.44,6.667000000000001
244,,
245,7.46,4.167
246,,
247,7.48,3.333
248,,
249,7.5,6.667000000000001
250,,
251,7.52,8.333
252,,
253,7.54,5.0
254,,
255,7.56,1.6669999999999998
256,,
257,7.58,4.167
258,,
259,7.6,1.6669999999999998
260,,
261,7.62,5.0
262,,
263,7.64,0.833
264,,
265,7.66,4.167
266,,
267,7.68,3.333
268,,
269,7.7,3.333
270,,
271,7.72,5.0
272,,
273,7.74,5.832999999999999
274,,
275,7.76,1.6669999999999998
276,,
277,7.78,6.667000000000001
278,,
279,7.8,5.832999999999999
280,,
281,7.82,5.832999999999999
282,,
283,7.84,4.167
284,,
285,7.86,5.0
286,,
287,7.88,2.5
288,,
289,7.9,3.333
290,,
291,7.92,1.6669999999999998
292,,
293,7.94,3.333
294,,
295,7.96,1.6669999999999998
296,,
297,7.98,4.167
298,,
299,8.0,1.6669999999999998
300,,
301,8.02,7.5
302,,
303,8.04,6.667000000000001
304,,
305,8.06,5.832999999999999
306,,
307,8.08,4.167
308,,
309,8.1,4.167
310,,
311,8.12,2.5
312,,
313,8.14,3.333
314,,
315,8.16,4.167
316,,
317,8.18,10.0
318,,
319,8.2,7.5
320,,
321,8.22,4.167
322,,
323,8.24,3.333
324,,
